HillBin,Model,WithWind,RMSE,R2,MAPE,n
Normal (85–109),RandomForest,FALSE,4.263274385830154,0.34078444669830266,3.923512363164281,2374
Normal (85–109),GAM,FALSE,4.292377207222423,0.3317535877251099,3.8751685265415254,2374
Normal (85–109),Linear,FALSE,4.357030479378234,0.311471261986763,3.9451560291922148,2374
Normal (85–109),Polynomial,FALSE,4.357327641058042,0.31137733960791003,3.9473487978679627,2374
Large (110–184),RandomForest,FALSE,7.290841213806705,0.39941470697206116,4.835619219788208,2622
Large (110–184),GAM,FALSE,7.57998799720205,0.3508329782565677,5.1026169010409,2622
Large (110–184),Polynomial,FALSE,7.601021414784085,0.34722528248899887,5.1059090218620495,2622
Large (110–184),Linear,FALSE,7.667495265332039,0.3357578260911712,5.160369736071367,2622
Ski Flying (≥185),RandomForest,FALSE,17.19020772691469,-1.2222566698683046e-4,8.188682378425307,84
Ski Flying (≥185),Linear,FALSE,17.212689521611026,-0.0027399072956111326,8.143258189895995,84
Ski Flying (≥185),Polynomial,FALSE,17.25133278031973,-0.007247353314551175,8.142573803032917,84
Ski Flying (≥185),GAM,FALSE,17.487542292229872,-0.03501914904685233,7.798132740153556,84
