Location,HS_Band,Model,MeanPercentError,MeanAbsPercentError,RMSE
Hinzenbach,85-109,RandomForest,1.057290347797009,3.3250989597385083,3.3651418653167906
Hinzenbach,85-109,Linear,1.1144800986974401,3.2110068519819213,3.2859434658982
