Group,side,Model,n_train_side,n_test_side,model_m_per_ms,model_pts_per_ms,official_pts_per_ms,gap_pts_per_ms,gap_pct,RMSE,R2,windpts_bias_mean,windpts_mae,windpts_iqr,abs_gap_pct
Titisee-Neustadt,head,Linear,244,60,6.060814776323884,10.909466597382991,10.8,0.10946659738299047,1.01357960539806,5.3174130576862515,0.011451786548947074,0.0442282857763806,0.051188465309344816,0.04576260985405134,1.01357960539806
Willingen,tail,Linear,165,52,9.631714761048231,17.337086569886818,17.55,-0.21291343011318276,-1.2131819379668534,5.234150476123458,0.29976766342833616,-0.3302070645050337,0.4941165458574111,0.1924384160522486,1.2131819379668534
Planica,head,Linear,282,75,12.236919878515737,14.684303854218884,14.4,0.2843038542188836,1.9743323209644694,11.98372286722161,-0.00793954563197019,0.17344698855995752,0.1751307013374568,0.23980637139306943,1.9743323209644694
Oberstdorf,tail,Linear,290,64,17.27614822833729,20.73137787400475,21.6,-0.8686221259952518,-4.021398731459499,11.356819220602983,0.8015038145220669,-1.1143204693283804,1.6870964065402816,1.5232728590585285,4.021398731459499
Wisla,tail,Linear,317,71,8.635351884431419,15.543633391976554,16.2,-0.6563666080234452,-4.0516457285397856,3.857894654043736,0.3870821038716288,-0.024886527806909378,0.3846924867333797,0.2157011440890263,4.0516457285397856
Sapporo,tail,Linear,146,25,9.498784490301977,17.09781208254356,16.2,0.8978120825435596,5.542049892244195,5.900851022781482,0.20432427532217146,-0.27064349592246884,0.27064349592246884,0.3261904705411167,5.542049892244195
Ruka,tail,RandomForest,129,38,10.318212169253655,18.57278190465658,17.55,1.0227819046565791,5.827817120550308,8.712462096556491,0.2587227495705572,-1.7776503147416225,1.7776503147416225,2.829254861851573,5.827817120550308
Sapporo,head,RandomForest,345,97,5.64119149097337,10.154144683752065,10.8,-0.6458553162479355,-5.980141817110513,6.305345965987566,0.06786076779143191,-0.5682718044378842,0.5684307164829895,0.5720599124857868,5.980141817110513
Oslo,tail,Linear,113,22,8.892153455121479,16.005876219218663,14.85,1.1558762192186638,7.783678243896725,6.1589700679894035,-0.08052848097817811,-0.33524258782548677,0.33524258782548677,0.3551762865765597,7.783678243896725
Klingenthal,tail,Linear,98,31,7.942280608368247,14.296105095062844,13.07,1.2261050950628434,9.381064231544325,3.7502666416706782,0.37596452337751596,-0.03585776445578409,0.24758783436804363,0.33070154448788325,9.381064231544325
Lake Placid,head,RandomForest,279,79,5.299132535877362,9.538438564579252,8.46,1.0784385645792511,12.747500763348121,4.981617932481444,0.1515569554928491,0.6683207152841264,0.6689049702656716,0.673063138747551,12.747500763348121
Rasnov,tail,Linear,40,14,5.1937618350080506,10.387523670016101,12,-1.612476329983899,-13.437302749865824,2.8161097610245918,0.4612692347342363,0.365473925980125,0.4621387994258114,0.7298676622950089,13.437302749865824
Planica,tail,Linear,251,60,15.522518387452717,18.627022064943258,21.6,-2.9729779350567433,-13.763786736373811,9.428715860657084,0.02363196414879043,0.4614831163624397,0.8983858146684529,1.6662440247714352,13.763786736373811
Lahti,tail,RandomForest,38,13,9.406560014259924,16.931808025667863,14.85,2.081808025667863,14.018909263756653,4.232733932170351,0.022340918517170794,-1.3257835648801144,1.3257835648801144,1.7954508892404302,14.018909263756653
Zakopane,head,RandomForest,67,23,7.02096743061972,12.637741375115496,10.8,1.8377413751154954,17.016123843661994,4.631210623222201,-0.0021685431776554687,0.5019194816077732,0.5019194816077732,0.4039256887742546,17.016123843661994
Wisla,head,Linear,137,41,4.9222496184274185,8.860049313169354,10.8,-1.939950686830647,-17.962506359543028,5.021109346830003,0.24172769888861334,-0.8473003857286217,0.8473003857286217,0.8015783022054841,17.962506359543028
Vikersund,tail,Linear,162,40,14.688689483219873,17.62642737986385,21.6,-3.973572620136153,-18.396169537667372,15.350437545024649,0.2434289889350627,1.758866243340452,1.758866243340452,1.3366843485979958,18.396169537667372
Engelberg,tail,Linear,602,146,7.097608010598804,12.775694419077848,15.66,-2.8843055809221525,-18.418298728749377,5.67687028125153,0.160692149950187,1.4044621604070422,1.504956815092632,2.443998275367275,18.418298728749377
Klingenthal,head,RandomForest,271,62,4.865857107402576,8.758542793324636,10.8,-2.0414572066753642,-18.902381543290407,6.695652544127463,0.13761450139043374,-1.2741306847903464,1.2741306847903464,1.6242021955071742,18.902381543290407
Willingen,head,Linear,457,104,5.124066596152142,9.223319873073855,11.7,-2.4766801269261443,-21.16820621304397,7.253030280744697,0.18879154575517842,-3.199872860340137,3.199872860340137,3.5067691808697554,21.16820621304397
Zakopane,head,Linear,67,23,4.641290569638009,8.354323025348418,10.8,-2.445676974651583,-22.645157172699843,4.472618081634583,0.06529335205555065,-0.6732270308718038,0.6732270308718038,0.4955921646768324,22.645157172699843
Lahti,head,Linear,366,89,4.249531831863266,7.64915729735388,9.9,-2.2508427026461204,-22.735784875213337,4.55439539403796,0.2127101818855014,-1.6723379352754115,1.6723379352754115,1.921724724275665,22.735784875213337
Zakopane,tail,Linear,386,91,5.217149473465199,9.390869052237358,13.07,-3.6791309477626424,-28.149433418229858,5.219723146013021,-0.05676845901545824,4.23654336105413,4.23654336105413,3.6512635077251905,28.149433418229858
Titisee-Neustadt,tail,Linear,231,59,6.3461737656697315,11.423112778205518,16.2,-4.776887221794482,-29.486958159225196,4.250147513198536,0.143401098403793,1.0936123932641015,1.0936123932641015,0.8442218054486201,29.486958159225196
Rasnov,tail,RandomForest,40,14,4.156731208626674,8.313462417253348,12,-3.686537582746652,-30.72114652288877,3.327033722012617,0.24805335276589935,1.0854694751534808,1.0854694751534808,1.3559612748239953,30.72114652288877
Lillehammer,tail,Linear,207,53,5.707198829459905,10.27295789302783,14.85,-4.57704210697217,-30.821832370182968,5.0226084773312545,0.8643774232648892,3.5413502886762007,3.5413502886762007,6.616126047795738,30.821832370182968
Oslo,head,Linear,355,94,3.726727514821011,6.70810952667782,9.9,-3.1918904733221805,-32.24131791234525,5.0790380230135685,0.1144939482550219,-1.8375575525581367,1.8375575525581367,2.006809902926195,32.24131791234525
Planica,head,RandomForest,282,75,7.797747255750878,9.357296706901053,14.4,-5.042703293098947,-35.01877286874269,11.733948365994555,0.03363917438835429,-3.109409949427111,3.109409949427111,4.070589667410146,35.01877286874269
Oberstdorf,head,RandomForest,114,38,7.554177212133908,9.06501265456069,14.4,-5.334987345439311,-37.048523232217434,13.403622799174226,0.6552094948095896,-2.068185877506048,2.0719727395921965,2.3980817738112883,37.048523232217434
Titisee-Neustadt,head,RandomForest,244,60,3.771321259433833,6.788378266980899,10.8,-4.011621733019101,-37.14464567610278,5.3428388802183555,0.001975470422797554,-1.462716347040651,1.462716347040651,1.4963290955496156,37.14464567610278
Rasnov,head,Linear,102,21,2.4566026557664706,4.913205311532941,8,-3.0867946884670587,-38.58493360583823,2.586564856228048,0.12084918648270437,-1.2592713536689222,1.2592713536689222,1.3364537691561647,38.58493360583823
Klingenthal,tail,RandomForest,98,31,4.117707745167678,7.41187394130182,13.07,-5.65812605869818,-43.29094153556373,4.2641229985964335,0.19323985898611018,1.127799372502531,1.127799372502531,1.0288033208591632,43.29094153556373
Sapporo,head,Linear,345,97,8.701295552457568,15.662331994423623,10.8,4.862331994423622,45.02159254095946,6.236329973480799,0.08815479594400755,4.249404602132991,4.249404602132991,4.409345434869731,45.02159254095946
Lake Placid,tail,Linear,127,23,10.393596502657882,18.70847370478419,12.69,6.01847370478419,47.42690074692034,5.271919863203436,0.13873993589733458,-1.9112583818248878,1.9112583818248878,1.3964913206242846,47.42690074692034
Lake Placid,tail,RandomForest,127,23,3.4524217886793807,6.214359219622885,12.69,-6.475640780377114,-51.029478174760555,5.5950561344571765,0.029924344493730715,2.0596971349807265,2.0596971349807265,1.4706973794867364,51.029478174760555
Klingenthal,head,Linear,271,62,9.069787317219761,16.32561717099557,10.8,5.52561717099557,51.16312195366268,6.089279553147235,0.28674068438964395,3.4247784045698304,3.4247784045698304,4.618634166071348,51.16312195366268
