HillBin,Model,WithWind,RMSE,R2,MAPE,n
Normal (85–109),RandomForest,TRUE,2.621288495119661,0.7011311781759171,2.284809969435873,324
Normal (85–109),GAM,TRUE,3.007687080438394,0.6065257924593893,2.6419625009046435,324
Normal (85–109),Polynomial,TRUE,3.1015035535250868,0.581596282123499,2.7001939490190807,324
Normal (85–109),Linear,TRUE,3.2541936391717505,0.5393853439112644,2.7918863898598407,324
Large (110–184),RandomForest,TRUE,5.472604099283677,0.45267320385733156,3.373832440597422,7555
Large (110–184),GAM,TRUE,5.810361504799011,0.383028709076324,3.5261293137674796,7555
Large (110–184),Polynomial,TRUE,5.819047492524619,0.38118269289298234,3.5217555299215593,7555
Large (110–184),Linear,TRUE,5.849457288666355,0.37469803057805184,3.541208169701724,7555
Ski Flying (≥185),GAM,TRUE,12.257326019775775,0.2159293791393624,4.625918655060593,1659
Ski Flying (≥185),Polynomial,TRUE,12.29303137928584,0.21135476007975773,4.656858176197191,1659
Ski Flying (≥185),RandomForest,TRUE,12.306216631046995,0.20966208358388883,4.659267784382925,1659
Ski Flying (≥185),Linear,TRUE,12.338543853140036,0.2055043496450234,4.674484080431995,1659
