Location,HS_Band,Model,MeanPercentError,MeanAbsPercentError,RMSE
Engelberg,110-184,RandomForest,0.079897690250643,3.7349531004500482,5.874174315690171
Engelberg,110-184,Linear,0.2531281636451665,3.5855874617369787,5.797671043512128
