HillBin,Model,WithWind,RMSE,R2,MAPE,n
Normal (85–109),RandomForest,FALSE,3.00372249516652,0.6075624255091301,2.5422100840996924,324
Normal (85–109),GAM,FALSE,3.1747461832504427,0.5616015719249782,2.6487120937067994,324
Normal (85–109),Polynomial,FALSE,3.201589484801648,0.554156685609325,2.6799681830884934,324
Normal (85–109),Linear,FALSE,3.3566101379278246,0.5099360314385304,2.8151898472179493,324
Large (110–184),RandomForest,FALSE,6.101020163799995,0.31975780293231504,3.7202088021598225,7555
Large (110–184),GAM,FALSE,6.239891279218864,0.28843808747697763,3.7942428293293715,7555
Large (110–184),Polynomial,FALSE,6.246164948290477,0.28700654070867504,3.792152884846206,7555
Large (110–184),Linear,FALSE,6.246996795224555,0.286816619077773,3.7916975816410354,7555
Ski Flying (≥185),Linear,FALSE,12.931399507757238,0.12732051973452663,4.9267037354808325,1659
Ski Flying (≥185),Polynomial,FALSE,12.934976002092451,0.12683773133586007,4.91934214266438,1659
Ski Flying (≥185),GAM,FALSE,12.957702842640428,0.1237667317664023,4.93300159322129,1659
Ski Flying (≥185),RandomForest,FALSE,13.010377133109477,0.11662830940762736,5.008922241160502,1659
